Input,Expected SQL,Predicted SQL
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;,SELECT год FROM Научные_работы;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Магазины электроники в городе Самара,SELECT * FROM Магазины WHERE город = 'Самара' AND категория = 'электроника';,SELECT * FROM Магазины WHERE город = 'Самара';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать всех сотрудников с должностью Доцент.,SELECT * FROM Сотрудники WHERE должность = 'Доцент';,SELECT * FROM Сотрудники WHERE должность = 'Доцент';
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, опубликованные в журнале Строительство XXI века.",SELECT * FROM Научные_работы WHERE название_журнала = 'Строительство XXI века';,SELECT * FROM Научные_работы WHERE название_журнала = 'Строительство XXI века';
Дата последнего обновления базы данных,SELECT MAX(ДатаОбновления) FROM Обновления;,"SELECT дата_обновления, дата_обновления, дата_обновления) FROM Дата_обновления WHERE база_обновления = 'дата';"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;,SELECT название FROM Научные_работы;
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать сотрудников старше 52 лет.,SELECT * FROM Сотрудники WHERE возраст > 52;,SELECT * FROM Сотрудники WHERE возраст > 52;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Конфетницу хрустальную,SELECT * FROM Посуда WHERE изделие = 'конфетница' AND материал = 'хрусталь';,SELECT * FROM Конфетницы WHERE материал = 'конфетница' AND материал = 'хрустальная';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Социальные выплаты населению и начисляемые пособия отдельным категориям граждан,"SELECT beneficiary_id, benefit_amount FROM SocialBenefits sb JOIN Beneficiaries b ON sb.beneficiary_id=b.beneficiary_id;","SELECT employee_id, ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec."
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Список сотрудников из Институт строительства.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';,SELECT * FROM Сотрудники WHERE подразделение = 'Институт строительства';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Характеристики микросхем и технологические новшества полупроводниковой индустрии,"SELECT microchip_id, technological_advancement FROM Microchips mic JOIN TechnologicalAdvances ta ON mic.chip_id=ta.chip_id WHERE fabrication_year > 2020;",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать научные работы, опубликованные в журнале Вестник информатики.",SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';,SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Конфигурацию сети передачи данных и критичные точки отказа сети,"SELECT cfg.network_config_id, fail.failure_point FROM NetworkConfigs cfg JOIN FailurePoints fail ON cfg.config_id=fail.config_id;",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать всех сотрудников с должностью Ассистент.,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';,SELECT * FROM Сотрудники WHERE должность = 'Ассистент';
Сиденья для велосипеда кожаные,SELECT * FROM Велозапчасти WHERE запчасть = 'сиденье' AND материал = 'кожа';,SELECT * FROM Сиденье WHERE аксессуар = 'велосипеды' AND материал = 'велосипет';
Показать всех сотрудников с должностью Доцент.,SELECT * FROM Сотрудники WHERE должность = 'Доцент';,SELECT * FROM Сотрудники WHERE должность = 'Доцент';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;,SELECT второе_название FROM Научные_работы;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Вывести количество_ставок всех сотрудников.,SELECT количество_ставок FROM Сотрудники;,SELECT количество_ставок FROM Сотрудники;
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Нобелевские лауреаты и вклад учёных в мировую науку,"SELECT laureate_id, scientific_contribution FROM NobelLaureates nl JOIN ScientificContributions sc ON nl.laureate_id=sc.laureate_id WHERE award_year > 2000;","SELECT лауреаты.автор, лауреаты.возраст FROM лауреаты JOIN Научные_работы ON лауреаты.id = 'Институт наук';"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;,SELECT название_журнала FROM Научные_работы;
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;,SELECT * FROM Научные_работы WHERE год = 2019;
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Нормативы охраны труда и нарушения требований производственной безопасности,"SELECT nor.labour_normative_id, viol.violation_record FROM LabourNormatives nor JOIN ViolationRecords viol ON nor.norm_id=viol.norm_id;","SELECT e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment_id, e.equiment"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Вывести оргструктура всех сотрудников.,SELECT оргструктура FROM Сотрудники;,SELECT оргструктура FROM Сотрудники;
Виноград кишмиш чёрный,SELECT * FROM Продукты WHERE категория = 'виноград' AND сорт = 'кишмиш' AND цвет = 'чёрный';,SELECT * FROM Продукты WHERE категория = 'виноград' AND категория = 'чёрный';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать публикации за 2015 год.,SELECT * FROM Научные_работы WHERE год = 2015;,SELECT * FROM Научные_работы WHERE год = 2015;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Семена огурцов гибридных сортов,SELECT * FROM СельхозРесурсы WHERE ресурс = 'семена' AND культура = 'огурец' AND сорт = 'гибрид';,SELECT * FROM Семена WHERE сорт = 'огурцов' AND сорт = 'гибридный';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Однокомнатные квартиры в центре города,SELECT * FROM Квартиры WHERE комнат = 1 AND район = 'центр';,SELECT * FROM квартиры WHERE город = 'комната' AND город = 'центр';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Собственников квартир площадью более 100 м²,SELECT * FROM Собственники WHERE площадь > 100;,SELECT * FROM Собственники WHERE площадь > 100;
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;,SELECT год FROM Научные_работы;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
